game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9
179235,2026-06-26,2026-06-26 18:40:00,Pittsburgh Pirates,Cincinnati Reds,1.52,2.73,7.5,1.98,1.89,4,6,Finished,Cincinnati Reds,Over,1,0,0,4,0,0,0,0,1,0,2,0,0,0,0,2,0.0,0
179239,2026-06-26,2026-06-26 18:40:00,Detroit Tigers,Houston Astros,1.89,2.02,8.5,1.91,1.96,8,0,Finished,Detroit Tigers,Under,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,,0
179243,2026-06-26,2026-06-26 19:05:00,Baltimore Orioles,Washington Nationals,1.76,2.19,9.0,1.93,1.94,3,1,Finished,Baltimore Orioles,Under,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,,0
179230,2026-06-26,2026-06-26 19:07:00,Toronto Blue Jays,Texas Rangers,2.0,1.91,8.5,1.88,1.99,4,5,Finished,Texas Rangers,Over,0,3,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0.0,0
179229,2026-06-26,2026-06-26 19:10:00,New York Mets,Philadelphia Phillies,2.38,1.65,8.0,1.9,1.96,1,2,Finished,Philadelphia Phillies,Under,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0
179231,2026-06-26,2026-06-26 19:10:00,Tampa Bay Rays,Arizona Diamondbacks,1.75,2.2,8.5,1.85,2.02,6,1,Finished,Tampa Bay Rays,Under,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0
179240,2026-06-26,2026-06-26 19:10:00,Cleveland Guardians,Seattle Mariners,1.92,1.99,7.5,1.99,1.88,1,3,Finished,Seattle Mariners,Under,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,0
179242,2026-06-26,2026-06-26 19:10:00,Boston Red Sox,New York Yankees,2.02,1.89,8.5,1.91,1.96,6,1,Finished,Boston Red Sox,Under,1,0,2,0,1,0,0,0,0,0,1,0,0,0,1,1,,0
179241,2026-06-26,2026-06-26 19:40:00,Chicago White Sox,Kansas City Royals,1.73,2.11,8.0,1.82,1.94,22,1,Finished,Chicago White Sox,Over,0,0,0,0,10,0,1,1,2,0,4,0,5,0,0,0,,0
179236,2026-06-26,2026-06-26 19:45:00,Milwaukee Brewers,Chicago Cubs,1.37,3.34,7.0,1.83,2.06,6,2,Finished,Milwaukee Brewers,Over,0,0,0,0,0,0,0,0,0,1,3,0,2,0,1,1,,0
179237,2026-06-26,2026-06-26 20:10:00,Minnesota Twins,Colorado Rockies,1.64,2.41,9.0,1.9,1.97,9,8,Finished,Minnesota Twins,Over,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,3,1.0,5
179232,2026-06-26,2026-06-26 20:15:00,St. Louis Cardinals,Miami Marlins,1.89,2.02,8.0,1.93,1.94,0,4,Finished,Miami Marlins,Under,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2
179238,2026-06-26,2026-06-26 21:38:00,Los Angeles Angels,Athletics,1.97,1.83,8.5,1.9,1.88,3,9,Finished,Athletics,Over,0,0,0,0,0,0,1,0,2,7,0,0,0,2,0,0,0.0,0
179234,2026-06-26,2026-06-26 21:45:00,San Diego Padres,Los Angeles Dodgers,2.33,1.68,7.5,1.91,1.96,7,1,Finished,San Diego Padres,Over,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,,0
179233,2026-06-26,2026-06-26 22:15:00,San Francisco Giants,Atlanta Braves,2.09,1.85,8.5,1.94,1.94,1,3,Finished,Atlanta Braves,Under,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0
