game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9,odds_api_id
185632,2026-09-08,2026-09-08 18:35:00,Baltimore Orioles,Cleveland Guardians,1.81,2.13,8.5,1.93,1.96,,,,,,,,,,,,,,,,,,,,,,,,185632
185633,2026-09-08,2026-09-08 18:40:00,Philadelphia Phillies,Houston Astros,1.74,2.22,8.5,1.85,2.02,,,,,,,,,,,,,,,,,,,,,,,,185633
185634,2026-09-08,2026-09-08 18:40:00,Detroit Tigers,Minnesota Twins,1.73,2.24,8.0,1.88,1.98,,,,,,,,,,,,,,,,,,,,,,,,185634
185635,2026-09-08,2026-09-08 18:40:00,Miami Marlins,New York Mets,1.78,2.16,8.0,1.95,1.92,,,,,,,,,,,,,,,,,,,,,,,,185635
185636,2026-09-08,2026-09-08 18:45:00,Boston Red Sox,Los Angeles Angels,1.69,2.3,8.0,2.01,1.86,,,,,,,,,,,,,,,,,,,,,,,,185636
185637,2026-09-08,2026-09-08 19:05:00,New York Yankees,Colorado Rockies,1.3,3.82,8.0,1.93,1.93,,,,,,,,,,,,,,,,,,,,,,,,185637
185638,2026-09-08,2026-09-08 19:15:00,Atlanta Braves,Tampa Bay Rays,1.9,2.01,8.0,1.86,2.01,,,,,,,,,,,,,,,,,,,,,,,,185638
185639,2026-09-08,2026-09-08 19:40:00,Chicago White Sox,Pittsburgh Pirates,1.71,2.27,8.5,1.98,1.89,,,,,,,,,,,,,,,,,,,,,,,,185639
185640,2026-09-08,2026-09-08 19:40:00,Kansas City Royals,Arizona Diamondbacks,2.04,1.89,9.5,2.05,1.85,,,,,,,,,,,,,,,,,,,,,,,,185640
185641,2026-09-08,2026-09-08 19:40:00,Milwaukee Brewers,Chicago Cubs,1.49,2.86,7.5,2.07,1.83,,,,,,,,,,,,,,,,,,,,,,,,185641
185642,2026-09-08,2026-09-08 21:40:00,Seattle Mariners,Texas Rangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185642
185643,2026-09-08,2026-09-08 21:40:00,San Diego Padres,Washington Nationals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185643
185644,2026-09-08,2026-09-08 21:40:00,Athletics,Toronto Blue Jays,2.85,1.49,8.0,1.99,1.9,,,,,,,,,,,,,,,,,,,,,,,,185644
185645,2026-09-08,2026-09-08 21:45:00,San Francisco Giants,St. Louis Cardinals,1.81,2.14,8.0,1.91,1.98,,,,,,,,,,,,,,,,,,,,,,,,185645
185646,2026-09-08,2026-09-08 22:10:00,Los Angeles Dodgers,Cincinnati Reds,1.59,2.56,8.5,1.95,1.93,,,,,,,,,,,,,,,,,,,,,,,,185646
